"paper","da_label","descriptive","inferential","machine_learning","method"
"http://orkg.org/orkg/resource/R193920","analysis","descriptive","inferential","machine learning","content analysis"
"http://orkg.org/orkg/resource/R195849","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R227465","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R227514","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R193929","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R193490","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R76818","analysis",,"inferential","machine learning",
"http://orkg.org/orkg/resource/R276031","analysis",,"inferential","machine learning",
"http://orkg.org/orkg/resource/R193798","analysis","descriptive",,"machine learning","Crowdsourcing"
"http://orkg.org/orkg/resource/R193481","analysis","descriptive",,"machine learning","grounded theory"
"http://orkg.org/orkg/resource/R193025","analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R194084","analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R228262","analysis","descriptive",,"machine learning","individual coding"
"http://orkg.org/orkg/resource/R228262","analysis","descriptive",,"machine learning","pair coding"
"http://orkg.org/orkg/resource/R193828","analysis","descriptive",,"machine learning","category coding"
"http://orkg.org/orkg/resource/R193828","analysis","descriptive",,"machine learning","manual analysis"
"http://orkg.org/orkg/resource/R194253","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R193828","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R194360","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R193341","analysis","descriptive",,"machine learning","regularity analysis"
"http://orkg.org/orkg/resource/R193371","analysis","descriptive",,"machine learning","error analysis"
"http://orkg.org/orkg/resource/R194139","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194610","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R193481","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194360","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194607","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R193898","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194125","analysis","descriptive",,"machine learning","post-mortem analysis"
"http://orkg.org/orkg/resource/R193385","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R111988","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R199028","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R199113","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211351","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211380","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211459","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R220343","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R221176","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R225589","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R227533","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R195597","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R229316","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R192428","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R192445","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R193925","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194317","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194345","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194414","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194428","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194445","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194884","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194932","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R195113","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R76792","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R108199","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R113067","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R195998","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R196070","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R196014","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R195495","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R78432","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R198972","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R78392","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R211177","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R211283","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R211336","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R220364","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R220831","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R220898","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R276051","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R279109","analysis",,,"machine learning",
"http://orkg.org/orkg/resource/R194401","analysis","descriptive","inferential",,"grounded theory"
"http://orkg.org/orkg/resource/R194431","analysis","descriptive","inferential",,"open coding"
"http://orkg.org/orkg/resource/R193441","analysis","descriptive","inferential",,"thematic analysis"
"http://orkg.org/orkg/resource/R193308","analysis","descriptive","inferential",,"thematic analysis"
"http://orkg.org/orkg/resource/R193044","analysis","descriptive","inferential",,"thematic analysis"
"http://orkg.org/orkg/resource/R193295","analysis","descriptive","inferential",,"category coding"
"http://orkg.org/orkg/resource/R194431","analysis","descriptive","inferential",,"pattern coding"
"http://orkg.org/orkg/resource/R193295","analysis","descriptive","inferential",,"content analysis"
"http://orkg.org/orkg/resource/R193308","analysis","descriptive","inferential",,"deductive coding"
"http://orkg.org/orkg/resource/R194431","analysis","descriptive","inferential",,"in vivo coding"
"http://orkg.org/orkg/resource/R192345","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R193418","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R194458","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R194954","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195182","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195201","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195679","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R196033","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R196046","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R198856","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R74547","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R198979","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R199136","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R113204","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R200061","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R211106","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R211302","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R211394","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R211428","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R220314","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R220323","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R220538","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R220583","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R220633","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R220881","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R221821","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R222375","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R228189","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R228211","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R229273","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R249030","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R279086","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R280498","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R280738","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R280765","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R281194","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R194281","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R194373","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R283080","analysis",,"inferential",,"signal analysis"
"http://orkg.org/orkg/resource/R113160","analysis",,"inferential",,
"http://orkg.org/orkg/resource/R195713","analysis",,"inferential",,
"http://orkg.org/orkg/resource/R195789","analysis",,"inferential",,
"http://orkg.org/orkg/resource/R195857","analysis",,"inferential",,
"http://orkg.org/orkg/resource/R195986","analysis",,"inferential",,
"http://orkg.org/orkg/resource/R196021","analysis",,"inferential",,
"http://orkg.org/orkg/resource/R198944","analysis",,"inferential",,
"http://orkg.org/orkg/resource/R211438","analysis",,"inferential",,
"http://orkg.org/orkg/resource/R194641","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R193108","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R193406","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R228229","analysis","descriptive",,,"inductive reasoning"
"http://orkg.org/orkg/resource/R228229","analysis","descriptive",,,"matrix traceability method"
"http://orkg.org/orkg/resource/R194895","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R283069","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R285816","analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R229340","analysis","descriptive",,,"axial coding"
"http://orkg.org/orkg/resource/R193357","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R194054","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R229340","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R229340","analysis","descriptive",,,"selective coding"
"http://orkg.org/orkg/resource/R193336","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R193089","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R193357","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R193849","analysis","descriptive",,,"thematic analysis"
