"paper","year","da_label","descriptive","inferential","machine_learning","method"
"http://orkg.org/orkg/resource/R193308",2021,"analysis","descriptive","inferential",,"thematic analysis"
"http://orkg.org/orkg/resource/R193044",2021,"analysis","descriptive","inferential",,"thematic analysis"
"http://orkg.org/orkg/resource/R193441",2020,"analysis","descriptive","inferential",,"thematic analysis"
"http://orkg.org/orkg/resource/R193295",2021,"analysis","descriptive","inferential",,"category coding"
"http://orkg.org/orkg/resource/R249030",2011,"analysis","descriptive","inferential",,"triangulation"
"http://orkg.org/orkg/resource/R283080",2009,"analysis","descriptive","inferential",,"signal analysis"
"http://orkg.org/orkg/resource/R194431",2019,"analysis","descriptive","inferential",,"pattern coding"
"http://orkg.org/orkg/resource/R193295",2021,"analysis","descriptive","inferential",,"content analysis"
"http://orkg.org/orkg/resource/R198681",2016,"analysis","descriptive","inferential",,"content analysis"
"http://orkg.org/orkg/resource/R195129",2018,"analysis","descriptive","inferential",,"content analysis"
"http://orkg.org/orkg/resource/R220583",2013,"analysis","descriptive","inferential",,"content analysis"
"http://orkg.org/orkg/resource/R195767",2017,"analysis","descriptive","inferential",,"content analysis"
"http://orkg.org/orkg/resource/R193308",2021,"analysis","descriptive","inferential",,"deductive coding"
"http://orkg.org/orkg/resource/R113204",2018,"analysis","descriptive","inferential",,"coding"
"http://orkg.org/orkg/resource/R200049",2015,"analysis","descriptive","inferential",,"coding"
"http://orkg.org/orkg/resource/R220314",2013,"analysis","descriptive","inferential",,"coding"
"http://orkg.org/orkg/resource/R195789",2017,"analysis","descriptive","inferential",,"coding"
"http://orkg.org/orkg/resource/R211106",2014,"analysis","descriptive","inferential",,"coding"
"http://orkg.org/orkg/resource/R194431",2019,"analysis","descriptive","inferential",,"in vivo coding"
"http://orkg.org/orkg/resource/R287851",2008,"analysis","descriptive","inferential",,"cross-factor analysis"
"http://orkg.org/orkg/resource/R200049",2015,"analysis","descriptive","inferential",,"two-cycle coding"
"http://orkg.org/orkg/resource/R198681",2016,"analysis","descriptive","inferential",,"two-cycle coding"
"http://orkg.org/orkg/resource/R288764",2007,"analysis","descriptive","inferential",,"multivariate analysis "
"http://orkg.org/orkg/resource/R192345",2021,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R193418",2020,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R194458",2019,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R194954",2018,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195182",2018,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195201",2018,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195679",2017,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R196033",2017,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R74547",2016,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R199123",2015,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R199136",2015,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R200061",2015,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R211302",2014,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R211394",2014,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R211428",2014,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R220323",2013,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R576765",2006,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R580077",2005,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R580119",2005,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R583172",2004,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R587118",2002,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R588979",2002,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R220538",2013,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R220845",2012,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R220874",2012,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R220881",2012,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R221821",2012,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R222375",2012,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R228189",2022,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R228211",2022,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R229273",2022,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R265019",2011,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R279086",2010,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R280498",2010,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R280738",2009,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R280765",2009,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R281194",2009,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R194281",2019,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R194373",2019,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195713",2017,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195857",2017,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195986",2017,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R196021",2017,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R198944",2016,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R588540",2002,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R596028",2001,"analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R199023",2015,"analysis","descriptive",,," observation"
"http://orkg.org/orkg/resource/R221801",2012,"analysis","descriptive",,,"eye tracking method"
"http://orkg.org/orkg/resource/R211361",2014,"analysis","descriptive",,,"Crowdsourcing"
"http://orkg.org/orkg/resource/R254495",2011,"analysis","descriptive",,,"root cause analysis"
"http://orkg.org/orkg/resource/R254508",2011,"analysis","descriptive",,,"social network analysis"
"http://orkg.org/orkg/resource/R285790",2008,"analysis","descriptive",,,"social network analysis"
"http://orkg.org/orkg/resource/R598606",2000,"analysis","descriptive",,,"social network analysis"
"http://orkg.org/orkg/resource/R555217",2007,"analysis","descriptive",,,"automated varibility analysis"
"http://orkg.org/orkg/resource/R556363",2006,"analysis","descriptive",,,"Knowledge Base Analysis "
"http://orkg.org/orkg/resource/R279126",2010,"analysis","descriptive",,,"commitment analysis"
"http://orkg.org/orkg/resource/R558790",2006,"analysis","descriptive",,,"semantic parameterization"
"http://orkg.org/orkg/resource/R280754",2009,"analysis","descriptive",,,"semantic parameterization"
"http://orkg.org/orkg/resource/R576757",2006,"analysis","descriptive",,,"goal decomposition "
"http://orkg.org/orkg/resource/R576776",2006,"analysis","descriptive",,,"antipattern analysis"
"http://orkg.org/orkg/resource/R280347",2010,"analysis","descriptive",,,"Strategic release planning analysis"
"http://orkg.org/orkg/resource/R280347",2010,"analysis","descriptive",,,"operational release planning analysis"
"http://orkg.org/orkg/resource/R280347",2010,"analysis","descriptive",,,"robustness analyses"
"http://orkg.org/orkg/resource/R280347",2010,"analysis","descriptive",,,"multi-criteria decision analyses"
"http://orkg.org/orkg/resource/R280818",2009,"analysis","descriptive",,,"Forensic system verification"
"http://orkg.org/orkg/resource/R578059",2005,"analysis","descriptive",,,"cost-benefit analysis"
"http://orkg.org/orkg/resource/R578050",2005,"analysis","descriptive",,,"soft-goal analysis "
"http://orkg.org/orkg/resource/R369339",2007,"analysis","descriptive",,,"mind maps"
"http://orkg.org/orkg/resource/R369685",2007,"analysis","descriptive",,,"Persona-Scenario-Goal methodology"
"http://orkg.org/orkg/resource/R554468",2007,"analysis","descriptive",,,"consistency checking"
"http://orkg.org/orkg/resource/R583188",2004,"analysis","descriptive",,,"goal analysis"
"http://orkg.org/orkg/resource/R586445",2003,"analysis","descriptive",,,"goal analysis"
"http://orkg.org/orkg/resource/R580068",2005,"analysis","descriptive",,,"causal analysis"
"http://orkg.org/orkg/resource/R580091",2005,"analysis","descriptive",,,"conjoint analysis"
"http://orkg.org/orkg/resource/R580100",2005,"analysis","descriptive",,,"protocol analysis"
"http://orkg.org/orkg/resource/R580108",2005,"analysis","descriptive",,,"domain analysis "
"http://orkg.org/orkg/resource/R583013",2005,"analysis","descriptive",,,"semantic analysis"
"http://orkg.org/orkg/resource/R583022",2005,"analysis","descriptive",,,"object-oriented domain analysis "
"http://orkg.org/orkg/resource/R583056",2005,"analysis","descriptive",,,"probalistic analysis"
"http://orkg.org/orkg/resource/R583153",2005,"analysis","descriptive",,,"NFR method"
"http://orkg.org/orkg/resource/R583209",2004,"analysis","descriptive",,,"Interaction Pattern Specification"
"http://orkg.org/orkg/resource/R583872",2004,"analysis","descriptive",,,"stakeholder analysis"
"http://orkg.org/orkg/resource/R583920",2004,"analysis","descriptive",,,"Requirements Engineering Model"
"http://orkg.org/orkg/resource/R583935",2004,"analysis","descriptive",,,"visual variability analysis"
"http://orkg.org/orkg/resource/R583952",2004,"analysis","descriptive",,,"Traceability for Complex Systems (TraCS)"
"http://orkg.org/orkg/resource/R584028",2004,"analysis","descriptive",,,"REquirements to Testing in a NAtural way (RETNA)"
"http://orkg.org/orkg/resource/R584036",2004,"analysis","descriptive",,,"OpenModel  Modeling Language (OMML)"
"http://orkg.org/orkg/resource/R584065",2003,"analysis","descriptive",,,"instability analysis"
"http://orkg.org/orkg/resource/R584073",2003,"analysis","descriptive",,,"orthogonal defect classification analysis"
"http://orkg.org/orkg/resource/R584097",2003,"analysis","descriptive",,,"Data WArehouse Requirements deFinition (DWARF)"
"http://orkg.org/orkg/resource/R586458",2003,"analysis","descriptive",,,"Analysis of Web Application REquirements (AWARE)"
"http://orkg.org/orkg/resource/R583209",2004,"analysis","descriptive",,,"use case analysis"
"http://orkg.org/orkg/resource/R583048",2005,"analysis","descriptive",,,"automatic analysis"
"http://orkg.org/orkg/resource/R580091",2005,"analysis","descriptive",,,"Persona analysis"
"http://orkg.org/orkg/resource/R580091",2005,"analysis","descriptive",,,"Value analysis"
"http://orkg.org/orkg/resource/R580091",2005,"analysis","descriptive",,,"Hot spot analysis"
"http://orkg.org/orkg/resource/R588523",2002,"analysis","descriptive",,,"System Reliability Analyser "
"http://orkg.org/orkg/resource/R583147",2005,"analysis","descriptive",,,"reverse engineering goal models from legacy software"
"http://orkg.org/orkg/resource/R583056",2005,"analysis","descriptive",,,"Monte carlo analysis"
"http://orkg.org/orkg/resource/R583056",2005,"analysis","descriptive",,,"Electrical load analysis"
"http://orkg.org/orkg/resource/R583952",2004,"analysis","descriptive",,,"risk analysis"
"http://orkg.org/orkg/resource/R583866",2004,"analysis","descriptive",,,"Problem frames"
"http://orkg.org/orkg/resource/R587093",2003,"analysis","descriptive",,,"Benchmarking method"
"http://orkg.org/orkg/resource/R586458",2003,"analysis","descriptive",,,"Diffusion theory"
"http://orkg.org/orkg/resource/R586445",2003,"analysis","descriptive",,,"Goals Skills Preferences Framework"
"http://orkg.org/orkg/resource/R584052",2002,"analysis","descriptive",,,"Attributed Goal-Oriented Requirements Analysis (AGORA)"
"http://orkg.org/orkg/resource/R194641",2020,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R195587",2017,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R198663",2016,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R198833",2016,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R193108",2021,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R193406",2020,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R195005",2018,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R195224",2018,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R211096",2014,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R211121",2014,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R583928",2004,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R221137",2012,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R221147",2012,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R276024",2011,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R280335",2010,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R287845",2008,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R195519",2017,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R199149",2015,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R369483",2007,"analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R228229",2022,"analysis","descriptive",,,"inductive reasoning"
"http://orkg.org/orkg/resource/R228229",2022,"analysis","descriptive",,,"matrix traceability method"
"http://orkg.org/orkg/resource/R194895",2019,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R195153",2018,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R211188",2014,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R211294",2014,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R211467",2014,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R556363",2006,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R578020",2006,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R578027",2006,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R583034",2005,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R583188",2004,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R220618",2013,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R220810",2013,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R221187",2012,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R280747",2009,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R285816",2008,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R195806",2017,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R369339",2007,"analysis","descriptive",,,"comparative analysis"
"http://orkg.org/orkg/resource/R198663",2016,"analysis","descriptive",,,"axial coding"
"http://orkg.org/orkg/resource/R195005",2018,"analysis","descriptive",,,"axial coding"
"http://orkg.org/orkg/resource/R583928",2004,"analysis","descriptive",,,"axial coding"
"http://orkg.org/orkg/resource/R584056",2003,"analysis","descriptive",,,"axial coding"
"http://orkg.org/orkg/resource/R229340",2022,"analysis","descriptive",,,"axial coding"
"http://orkg.org/orkg/resource/R369483",2007,"analysis","descriptive",,,"axial coding"
"http://orkg.org/orkg/resource/R193357",2021,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R194054",2020,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R195587",2017,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R198663",2016,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R195005",2018,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R211121",2014,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R583928",2004,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R584056",2003,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R586489",2003,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R229340",2022,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R276024",2011,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R287825",2008,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R369483",2007,"analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R195005",2018,"analysis","descriptive",,,"selective coding"
"http://orkg.org/orkg/resource/R229340",2022,"analysis","descriptive",,,"selective coding"
"http://orkg.org/orkg/resource/R369483",2007,"analysis","descriptive",,,"selective coding"
"http://orkg.org/orkg/resource/R193336",2021,"analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R193089",2021,"analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R193357",2021,"analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R193849",2021,"analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R194054",2020,"analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R195144",2018,"analysis","descriptive",,,"thematic analysis"
