"paper","year","dc_label","experiment","case_study","secondary_research","survey","action_research","interview","study"
"http://orkg.org/orkg/resource/R195216","2018","no collection",,,,,,,
"http://orkg.org/orkg/resource/R195513","2017","no collection",,,,,,,
"http://orkg.org/orkg/resource/R195995","2017","no collection",,,,,,,
"http://orkg.org/orkg/resource/R196065","2017","no collection",,,,,,,
"http://orkg.org/orkg/resource/R198904","2016","no collection",,,,,,,
"http://orkg.org/orkg/resource/R211137","2014","no collection",,,,,,,
"http://orkg.org/orkg/resource/R211177","2014","no collection",,,,,,,
"http://orkg.org/orkg/resource/R211279","2014","no collection",,,,,,,
"http://orkg.org/orkg/resource/R220388","2013","no collection",,,,,,,
"http://orkg.org/orkg/resource/R220823","2012","no collection",,,,,,,
"http://orkg.org/orkg/resource/R222372","2012","no collection",,,,,,,
"http://orkg.org/orkg/resource/R228222","2022","no collection",,,,,,,
"http://orkg.org/orkg/resource/R229369","2022","no collection",,,,,,,
"http://orkg.org/orkg/resource/R276005","2011","no collection",,,,,,,
"http://orkg.org/orkg/resource/R276059","2011","no collection",,,,,,,
"http://orkg.org/orkg/resource/R280299","2010","no collection",,,,,,,
"http://orkg.org/orkg/resource/R280303","2010","no collection",,,,,,,
"http://orkg.org/orkg/resource/R280308","2010","no collection",,,,,,,
"http://orkg.org/orkg/resource/R280317","2010","no collection",,,,,,,
"http://orkg.org/orkg/resource/R280448","2010","no collection",,,,,,,
"http://orkg.org/orkg/resource/R280526","2010","no collection",,,,,,,
"http://orkg.org/orkg/resource/R280754","2009","no collection",,,,,,,
"http://orkg.org/orkg/resource/R280785","2009","no collection",,,,,,,
"http://orkg.org/orkg/resource/R280789","2009","no collection",,,,,,,
"http://orkg.org/orkg/resource/R281210","2009","no collection",,,,,,,
